city,admin_name,country,population,lat,lng
Wānkāner,Gujarāt,India,43881,22.6161,70.9531
Loreto,Agusan del Sur,Philippines,43880,8.1900,125.8500
Zongolica,Veracruz,Mexico,43871,18.6667,-97.0000
Greenacres,Florida,United States,43871,26.6270,-80.1371
Etten-Leur,Noord-Brabant,Netherlands,43869,51.5706,4.6356
Hicksville,New York,United States,43868,40.7637,-73.5245
North Brunswick,New Jersey,United States,43867,40.4505,-74.4798
Addanki,Andhra Pradesh,India,43850,15.8167,79.9833
Hinatuan,Surigao del Sur,Philippines,43841,8.3661,126.3361
Wallsend,North Tyneside,United Kingdom,43826,54.9910,-1.5340
Lompoc,California,United States,43819,34.6618,-120.4714
Yirga ‘Alem,Sīdama,Ethiopia,43815,6.7500,38.4167
Nidadavole,Andhra Pradesh,India,43809,16.9200,81.6700
Bietigheim-Bissingen,Baden-Württemberg,Germany,43808,48.9667,9.1333
Ciudad Constitución,Baja California Sur,Mexico,43805,25.0322,-111.6703
Beni Saf,Aïn Temouchent,Algeria,43802,35.3000,-1.3833
Erkrath,North Rhine-Westphalia,Germany,43801,51.2239,6.9147
Xinjun,Zhejiang,China,43793,28.7233,120.0189
Bellinzona,Ticino,Switzerland,43785,46.1956,9.0238
Baler,Aurora,Philippines,43785,15.7583,121.5625
Varaždin,Varaždinska Županija,Croatia,43782,46.3081,16.3378
Gryazi,Lipetskaya Oblast’,Russia,43771,52.5000,39.9667
Anekal,Karnātaka,India,43767,12.7105,77.6967
Āzādshahr,Golestān,Iran,43760,37.0869,55.1742
Jaro,Leyte,Philippines,43758,11.1894,124.7853
Sugito,Saitama,Japan,43755,36.0258,139.7367
Trujillo Alto,Puerto Rico,Puerto Rico,43752,18.3599,-66.0096
Salto de Pirapora,São Paulo,Brazil,43748,-23.6489,-47.5728
Himi,Toyama,Japan,43747,36.8567,136.9731
Shyorongi,Northern Province,Rwanda,43744,-1.8555,29.9702
Ząbki,Mazowieckie,Poland,43740,52.2928,21.1161
Badian,Cebu,Philippines,43735,9.8694,123.3959
Thun,Bern,Switzerland,43734,46.7590,7.6300
Kottangara,Kerala,India,43732,8.9167,76.6333
Murzuq,Murzuq,Libya,43732,25.9000,13.9000
Lombard,Illinois,United States,43722,41.8741,-88.0157
Venray,Limburg,Netherlands,43713,51.5258,5.9747
Kalilangan,Bukidnon,Philippines,43711,7.7464,124.7475
Takāb,Āz̄arbāyjān-e Gharbī,Iran,43702,36.4008,47.1108
Maştağa,Bakı,Azerbaijan,43700,40.5286,50.0103
Cameron Highlands,Pahang,Malaysia,43700,4.4833,101.4500
Bushenyi,Bushenyi,Uganda,43700,-0.5417,30.1878
Porsa,Madhya Pradesh,India,43695,26.6700,78.3700
Bodupāl,Andhra Pradesh,India,43692,17.4139,78.5783
Melun,Île-de-France,France,43685,48.5406,2.6600
Tanghin-Dassouri,Centre,Burkina Faso,43675,12.2667,-1.7167
Rāmachandrapuram,Andhra Pradesh,India,43657,16.8500,82.0200
Bagneux,Île-de-France,France,43647,48.7983,2.3137
Chembra,Kerala,India,43632,11.0420,75.9110
Spanish Fork,Utah,United States,43632,40.1101,-111.6405
Jinku,Guangdong,China,43623,23.0372,112.5151
Heinsberg,North Rhine-Westphalia,Germany,43620,51.0631,6.0964
Shinshiro,Aichi,Japan,43620,34.8989,137.4977
Linden,New Jersey,United States,43614,40.6251,-74.2383
Nijkerk,Gelderland,Netherlands,43600,52.2214,5.4842
Bouknadel,Rabat-Salé-Kénitra,Morocco,43598,34.1333,-6.7333
San Isidro,Buenos Aires,Argentina,43595,-34.4739,-58.5250
Roslavl,Smolenskaya Oblast’,Russia,43592,53.9500,32.8833
Of,Trabzon,Turkey,43591,40.9450,40.2644
Waxahachie,Texas,United States,43591,32.4035,-96.8446
Borken,North Rhine-Westphalia,Germany,43589,51.8333,6.8667
Santa Elena,Camarines Norte,Philippines,43582,14.1797,122.3919
Raduzhnyy,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Russia,43577,62.1333,77.4667
Roseller Lim,Zamboanga Sibugay,Philippines,43575,7.6583,122.4639
Villeta,Cundinamarca,Colombia,43574,5.0083,-74.4738
Kumatori,Ōsaka,Japan,43570,34.4000,135.3500
Prostějov,Olomoucký Kraj,Czechia,43563,49.4722,17.1106
Pittsfield,Massachusetts,United States,43559,42.4517,-73.2605
Uruará,Pará,Brazil,43558,-3.7178,-53.7369
Mozhga,Udmurtiya,Russia,43557,56.4500,52.2167
Gabú,Gabú,Guinea-Bissau,43556,12.2833,-14.2167
Cové,Zou,Benin,43554,7.2333,2.3000
Guambog,Davao de Oro,Philippines,43552,7.3092,125.8556
’Aïn Arnat,Sétif,Algeria,43551,36.1833,5.3167
Alcantarilla,Murcia,Spain,43547,37.9722,-1.2094
Channelview,Texas,United States,43536,29.7914,-95.1144
Presidente Epitácio,São Paulo,Brazil,43535,-21.7633,-52.1156
Kyustendil,Kyustendil,Bulgaria,43534,42.2797,22.6870
Shōranūr,Kerala,India,43533,10.7700,76.2800
Ksar,Nouakchott Ouest,Mauritania,43531,18.0995,-15.9574
Rheden,Gelderland,Netherlands,43525,52.0000,6.0167
Panambi,Rio Grande do Sul,Brazil,43515,-28.2928,-53.5019
Ormond Beach,Florida,United States,43514,29.2985,-81.1014
Kiraz,İzmir,Turkey,43510,38.2306,28.2044
Newnan,Georgia,United States,43510,33.3767,-84.7761
Cimerak,Jawa Barat,Indonesia,43500,-7.7422,108.4244
Ponte de Lima,Viana do Castelo,Portugal,43498,41.7667,-8.5833
Bahía Honda,Artemisa,Cuba,43483,22.9064,-83.1639
Caluire-et-Cuire,Auvergne-Rhône-Alpes,France,43479,45.7953,4.8472
Hillsborough,New Jersey,United States,43477,40.4985,-74.6740
Şile,İstanbul,Turkey,43464,41.1764,29.6128
Moises Padilla,Negros Occidental,Philippines,43462,10.2700,123.0800
Paoskoto,Kaolack,Senegal,43460,13.7833,-15.8167
Al Kiswah,Rīf Dimashq,Syria,43456,33.3581,36.2419
Hokuto,Yamanashi,Japan,43452,35.7765,138.4236
Potchefstroom,North West,South Africa,43448,-26.7150,27.1033
Pedro Celestino Negrete,Durango,Mexico,43447,24.6113,-103.0944
Toboso,Negros Occidental,Philippines,43445,10.7200,123.5200
Woodbridge,Virginia,United States,43443,38.6409,-77.2580
Kikuyō,Kumamoto,Japan,43430,32.8625,130.8286
Holly Springs,North Carolina,United States,43429,35.6526,-78.8399
Danville,California,United States,43426,37.8121,-121.9698
Nettetal,North Rhine-Westphalia,Germany,43425,51.3167,6.2833
Kilosa,Morogoro,Tanzania,43418,-6.8300,36.9875
Frosinone,Lazio,Italy,43417,41.6333,13.3500
Loreto,Zacatecas,Mexico,43411,22.2667,-101.9833
Victoria,Laguna,Philippines,43408,14.2250,121.3250
G’ijduvon Shahri,Buxoro,Uzbekistan,43400,40.1000,64.6667
Anse Rouge,Artibonite,Haiti,43395,19.6333,-73.0500
Severomorsk,Murmanskaya Oblast’,Russia,43394,69.0667,33.4167
Actopan,Veracruz,Mexico,43388,19.5036,-96.6192
De Bilt,Utrecht,Netherlands,43384,52.1167,5.2000
Aurich,Lower Saxony,Germany,43375,53.4714,7.4836
Nilothi,Haryāna,India,43371,28.8167,76.8667
Dounan,Yunlin,Taiwan,43360,23.6833,120.4833
Trelleborg,Skåne,Sweden,43359,55.3667,13.1667
Yutiancun,Fujian,China,43358,25.8747,119.4578
Rezé,Pays de la Loire,France,43349,47.1917,-1.5694
Isla,Veracruz,Mexico,43349,18.0333,-95.5333
Jambusar,Gujarāt,India,43344,22.0500,72.8000
Xihuachi,Gansu,China,43338,35.8164,108.0125
Sawākin,Red Sea,Sudan,43337,19.1025,37.3300
Burke,Virginia,United States,43336,38.7773,-77.2633
Innisfil,Ontario,Canada,43326,44.3000,-79.5833
Turda,Cluj,Romania,43319,46.5667,23.7833
Shināş,Shamāl al Bāţinah,Oman,43312,24.7426,56.4670
Hueyapan de Ocampo,Veracruz,Mexico,43309,18.1500,-95.1500
El Cuá,Jinotega,Nicaragua,43305,13.3675,-85.6733
General Pacheco,Buenos Aires,Argentina,43287,-34.4500,-58.6500
Kōttōppādam,Kerala,India,43283,10.9979,76.3914
Douar Bni Malek,Tanger-Tétouan-Al Hoceïma,Morocco,43282,34.7800,-5.6425
El Asintal,Retalhuleu,Guatemala,43281,14.6000,-91.7333
Zhongbu,Chiayi,Taiwan,43275,23.4082,120.5343
Lota,Biobío,Chile,43272,-37.0833,-73.1667
San Clemente,Maule,Chile,43269,-35.5500,-71.4833
Andes,Antioquia,Colombia,43269,5.5833,-75.9167
Vaudreuil-Dorion,Quebec,Canada,43268,45.4000,-74.0333
Alenquer,Lisboa,Portugal,43267,39.0531,-9.0092
Huber Heights,Ohio,United States,43266,39.8595,-84.1130
Vargem Grande,Maranhão,Brazil,43261,-3.5428,-43.9158
San Sebastián Huehuetenango,Huehuetenango,Guatemala,43261,15.3833,-91.5833
Konārak,Sīstān va Balūchestān,Iran,43258,25.3589,60.3992
Aleksinac,Aleksinac,Serbia,43258,43.5383,21.7047
Paso de los Libres,Corrientes,Argentina,43251,-29.7167,-57.0833
Ocozocoautla de Espinosa,Chiapas,Mexico,43247,16.7500,-93.3667
Maḩallāt,Markazī,Iran,43245,33.9056,50.4572
West Babylon,New York,United States,43239,40.7129,-73.3585
Kula,Manisa,Turkey,43227,38.5458,28.6494
Khawr Fakkān,Ash Shāriqah,United Arab Emirates,43223,25.3333,56.3500
Châlons-en-Champagne,Grand Est,France,43218,48.9575,4.3650
Braintree,Essex,United Kingdom,43215,51.8780,0.5500
Ambāsamudram,Tamil Nādu,India,43215,8.7037,77.4527
Vergína,Kentrikí Makedonía,Greece,43212,40.5203,22.2019
Véroia,Kentrikí Makedonía,Greece,43212,40.5167,22.2000
Laurel,Batangas,Philippines,43210,14.0504,120.9323
Yeola,Mahārāshtra,India,43205,20.0420,74.4890
Nagaizumi,Shizuoka,Japan,43204,35.1377,138.8972
Shanshan,Hunan,China,43200,27.8203,112.0164
South Upi,Maguindanao,Philippines,43197,6.8548,124.1443
Kapan,Syunik’,Armenia,43190,39.2011,46.4150
Aguazul,Casanare,Colombia,43183,5.1731,-72.5547
Darcheh,Eşfahān,Iran,43183,32.6131,51.5531
Berchem,Flanders,Belgium,43180,51.2000,4.4167
Álimos,Attikí,Greece,43174,37.9167,23.7167
Dock Sur,Buenos Aires,Argentina,43168,-34.6417,-58.3478
Delaware,Ohio,United States,43168,40.2851,-83.0741
Şān al Ḩajar al Qiblīyah,Ash Sharqīyah,Egypt,43157,30.9769,31.8800
Sonaguera,Colón,Honduras,43152,15.6185,-86.2712
Zhangliangcun,Shanxi,China,43151,37.0624,112.0078
Bāniyās,Ţarţūs,Syria,43151,35.1819,35.9487
Kozlu,Zonguldak,Turkey,43140,41.4333,31.7500
Chicamán,Quiché,Guatemala,43139,15.3483,-90.7994
Cumaribo,Vichada,Colombia,43138,4.4333,-69.8000
Maïssade,Centre,Haiti,43138,19.1761,-72.1396
Svitlovodsk,Kirovohradska Oblast,Ukraine,43130,49.0503,33.2419
Schertz,Texas,United States,43128,29.5650,-98.2535
Khutubi,Xinjiang,China,43127,44.1874,86.8946
Rantepao,Sulawesi Selatan,Indonesia,43123,-2.9690,119.9000
Kāyalpattanam,Tamil Nādu,India,43116,8.5638,78.1246
Kobayashi,Miyazaki,Japan,43114,31.9967,130.9725
Inabe,Mie,Japan,43114,35.1156,136.5614
Sanjiao,Guangdong,China,43113,22.4348,113.1061
Vargem Grande do Sul,São Paulo,Brazil,43110,-21.8322,-46.8936
North Miami Beach,Florida,United States,43104,25.9302,-80.1659
Macenta,N’Zérékoré,Guinea,43102,8.5504,-9.4800
Eṭ Ṭaiyiba,Central,Israel,43100,32.2667,35.0000
Bakau,Kanifing,Gambia,43098,13.4833,-16.6833
Taketoyo,Aichi,Japan,43095,34.8511,136.9147
Rudauli,Uttar Pradesh,India,43091,26.7500,81.7500
Hatfield,Hertfordshire,United Kingdom,43090,51.7636,-0.2258
Voorburg,Zuid-Holland,Netherlands,43090,52.0700,4.3550
Lucena,Andalusia,Spain,43086,37.4089,-4.4853
Châteauroux,Centre-Val de Loire,France,43079,46.8103,1.6911
Dhāka,Bihār,India,43074,26.7200,85.3300
Woonsocket,Rhode Island,United States,43074,42.0010,-71.4993
Lubao,Lomami,Congo (Kinshasa),43068,-5.3850,25.7450
Tešanj,Bosnia and Herzegovina,Bosnia and Herzegovina,43063,44.6119,17.9855
Makinohara,Shizuoka,Japan,43061,34.7333,138.2167
Yatomi,Aichi,Japan,43038,35.1167,136.7167
Barhiya,Bihār,India,43032,25.2833,86.0333
Kattivākkam,Tamil Nādu,India,43018,13.2167,80.3167
Betun,Nusa Tenggara Timur,Indonesia,43016,-9.4953,124.9603
Nova Venécia,Espírito Santo,Brazil,43015,-18.7108,-40.4008
Kingston upon Thames,Kingston upon Thames,United Kingdom,43013,51.4103,-0.2995
Jesús María,Aguascalientes,Mexico,43012,21.9667,-102.3500
Gualeguay,Entre Ríos,Argentina,43009,-33.1500,-59.3333
Pengzhen,Sichuan,China,43005,30.5833,103.8751
Santa Cruz,Madeira,Portugal,43005,32.6750,-16.8309
Hollister,California,United States,43003,36.8555,-121.3986
Kamen,North Rhine-Westphalia,Germany,43001,51.5917,7.6653
Tiznit,Souss-Massa,Morocco,43001,29.7167,-9.7167
Ağcabədi,Ağcabədi,Azerbaijan,43000,40.0489,47.4502
Garbahaarrey,Gedo,Somalia,43000,3.3500,42.2667
Yepocapa,Chimaltenango,Guatemala,42996,14.5000,-90.9500
Abucay,Bataan,Philippines,42984,14.7222,120.5354
Vyshneve,Kyivska Oblast,Ukraine,42983,50.3869,30.3581
Valenciennes,Hauts-de-France,France,42979,50.3581,3.5233
Periyakulam,Tamil Nādu,India,42976,10.1239,77.5475
Cuchi,Cuando Cubango,Angola,42974,-14.6500,16.9000
Lai Châu,Lai Châu,Vietnam,42973,22.3992,103.4392
Middleton,Rochdale,United Kingdom,42972,53.5550,-2.1870
Jatibonico,Sancti Spíritus,Cuba,42959,21.9464,-79.1675
Heist-op-den-Berg,Flanders,Belgium,42950,51.0758,4.7286
San Cristóbal Totonicapán,Totonicapán,Guatemala,42937,14.9167,-91.4333
Nandongcun,Hebei,China,42934,38.1024,114.7658
Nandazhang,Hebei,China,42934,38.0826,114.7616
Livny,Orlovskaya Oblast’,Russia,42928,52.4239,37.5997
Badulla,Uva,Sri Lanka,42923,6.9847,81.0564
Char Fasson,Khulna,Bangladesh,42915,22.1865,90.7610
Zhangcun,Hebei,China,42911,38.1333,114.9333
Bairāgnia,Bihār,India,42895,26.7381,85.2736
Sevanagala,Uva,Sri Lanka,42894,6.3635,80.9197
Pirthīpur,Madhya Pradesh,India,42883,25.1853,78.6650
Seevetal,Lower Saxony,Germany,42880,53.3833,9.9667
Bradford West Gwillimbury,Ontario,Canada,42880,44.1333,-79.6333
Tepalcatepec,Michoacán,Mexico,42879,19.1833,-102.8500
Villaba,Leyte,Philippines,42859,11.2200,124.4000
Shimabara,Nagasaki,Japan,42858,32.7881,130.3703
Mahbūbābād,Andhra Pradesh,India,42851,17.6167,80.0167
Bron,Auvergne-Rhône-Alpes,France,42850,45.7394,4.9139
Campbell,California,United States,42848,37.2802,-121.9539
Santo Tomas,Pampanga,Philippines,42846,15.0000,120.7500
Kalaiyā,,Nepal,42826,27.0333,85.0000
Buffalo Grove,Illinois,United States,42824,42.1675,-87.9615
Eisenach,Thuringia,Germany,42817,50.9761,10.3206
Puerto Colombia,Atlántico,Colombia,42803,11.0167,-74.8833
King’s Lynn,Norfolk,United Kingdom,42800,52.7540,0.3980
Salaberry-de-Valleyfield,Quebec,Canada,42787,45.2500,-74.1300
Laguna,Santa Catarina,Brazil,42785,-28.4828,-48.7808
Edmonds,Washington,United States,42783,47.8115,-122.3533
Thionville,Grand Est,France,42778,49.3589,6.1692
Itapecuru Mirim,Maranhão,Brazil,42772,-3.3928,-44.3589
Ban Pet,Khon Kaen,Thailand,42772,16.4262,102.7609
Nueva Valencia,Guimaras,Philippines,42771,10.5259,122.5398
Al Badārī,Asyūţ,Egypt,42770,26.9925,31.4156
Limbdi,Gujarāt,India,42769,22.5685,71.7949
Barreiros,Pernambuco,Brazil,42764,-8.8183,-35.1864
Dunakeszi,Pest,Hungary,42747,47.6297,19.1381
Schwäbisch Hall,Baden-Württemberg,Germany,42743,49.1122,9.7375
Atenco,México,Mexico,42739,19.5167,-98.9167
Bukama,Haut-Lomami,Congo (Kinshasa),42718,-9.2000,25.8333
Catonsville,Maryland,United States,42717,39.2646,-76.7424
Naranjo,Alajuela,Costa Rica,42713,10.1053,-84.3885
Ciechanów,Mazowieckie,Poland,42705,52.8667,20.6333
Lokeren,Flanders,Belgium,42703,51.1000,3.9833
Gravina in Puglia,Puglia,Italy,42703,40.8206,16.4233
Castres,Occitanie,France,42700,43.6000,2.2500
Thol,Gujarāt,India,42699,23.0674,72.5121
Taniyama-chūō,Kagoshima,Japan,42683,31.5211,130.5176
Orlândia,São Paulo,Brazil,42678,-20.7203,-47.8867
Musina,Limpopo,South Africa,42678,-22.3381,30.0417
Meru,Meru,Kenya,42677,0.0500,37.6500
Amberg,Bavaria,Germany,42676,49.4444,11.8483
Jincheng,Kinmen,Taiwan,42675,24.4167,118.3167
Manassas,Virginia,United States,42674,38.7479,-77.4838
Proper Bansud,Oriental Mindoro,Philippines,42671,12.8594,121.4567
Nakano,Nagano,Japan,42664,36.7420,138.3694
Quinhámel,Biombo,Guinea-Bissau,42659,11.8833,-15.8500
Evere,Brussels-Capital Region,Belgium,42656,50.8667,4.4000
Kafr al Kurdī,Ad Daqahlīyah,Egypt,42651,31.1684,31.7655
Cabo Bojador,Laâyoune-Sakia El Hamra,Morocco,42651,26.1333,-14.5000
Barpeta,Assam,India,42649,26.3200,91.0000
Vineyard,California,United States,42645,38.4740,-121.3240
Webuye,Bungoma,Kenya,42642,0.6004,34.7712
Puyallup,Washington,United States,42642,47.1793,-122.2902
Fareham,Hampshire,United Kingdom,42640,50.8500,-1.1800
Miranda,Cauca,Colombia,42639,3.2500,-76.2500
Kharik,Bihār,India,42638,25.3679,87.0026
Mondoro,Mopti,Mali,42631,14.6717,-1.9511
El Affroun,Tipaza,Algeria,42627,36.4667,2.6333
Sukheke Mandi,Punjab,Pakistan,42626,31.8833,73.4667
Kalmar,Kalmar,Sweden,42622,56.6643,16.3656
Arras,Hauts-de-France,France,42621,50.2920,2.7800
Biella,Piedmont,Italy,42619,45.5664,8.0533
Tecoanapa,Guerrero,Mexico,42619,16.8000,-99.1500
Zharkent,Zhetisū,Kazakhstan,42617,44.1667,80.0000
San Bruno,California,United States,42612,37.6256,-122.4313
Lloret de Mar,Catalonia,Spain,42600,41.7000,2.8333
Šibenik,Šibensko-Kninska Županija,Croatia,42599,43.7339,15.8956
Awaji,Hyōgo,Japan,42597,34.4333,134.9167
Sālār,West Bengal,India,42594,23.7748,88.1026
Coachella,California,United States,42594,33.6905,-116.1430
Nyunzu,Tanganyika,Congo (Kinshasa),42589,-5.9500,28.0333
La Orotava,Canary Islands,Spain,42585,28.3906,-16.5247
Simão Dias,Sergipe,Brazil,42578,-10.7378,-37.8108
Shuilou,Guangdong,China,42578,22.3403,112.8019
Machalí,Libertador General Bernardo O’Higgins,Chile,42572,-34.1825,-70.6514
Mata de São João,Bahia,Brazil,42566,-12.5300,-38.2989
Panitan,Capiz,Philippines,42565,11.4639,122.7694
Jefferson City,Missouri,United States,42565,38.5676,-92.1759
Laatzen,Lower Saxony,Germany,42560,52.3167,9.8000
José de Freitas,Piauí,Brazil,42559,-4.7558,-42.5758
Thomassique,Centre,Haiti,42557,19.0821,-71.8385
Jājpur,Odisha,India,42555,21.2140,86.1070
Sokoura,Mopti,Mali,42553,14.5461,-4.0914
French Valley,California,United States,42550,33.5999,-117.1069
Tamu,Sagaing,Burma,42549,24.2167,94.3097
Uruaçu,Goiás,Brazil,42546,-14.5250,-49.1408
Allūru,Andhra Pradesh,India,42545,15.1336,78.4975
Guarda,Guarda,Portugal,42541,40.5364,-7.2683
Maroantsetra,Toamasina,Madagascar,42529,-15.4333,49.7333
Balabac,Palawan,Philippines,42527,7.9800,117.0500
El Charco,Nariño,Colombia,42525,2.4775,-78.1111
Kōta,Aichi,Japan,42523,34.8645,137.1657
Loufan,Shanxi,China,42520,38.0694,111.7911
Kadalur,Kerala,India,42516,11.1333,75.8167
Itapa-Ekiti,Ekiti,Nigeria,42509,7.8131,5.3844
Nagykanizsa,Nagykanizsa,Hungary,42502,46.4558,16.9975
Mariel,Artemisa,Cuba,42500,22.9936,-82.7539
Homburg,Saarland,Germany,42498,49.3167,7.3333
San Giorgio a Cremano,Campania,Italy,42485,40.8333,14.3333
Jambughoda,Gujarāt,India,42476,22.3667,73.7167
Bairuo,Hunan,China,42466,28.4782,112.8048
Midland,Michigan,United States,42461,43.6241,-84.2319
Kārsiyāng,West Bengal,India,42446,26.8778,88.2772
Maubin,Ayeyarwady,Burma,42439,16.7300,95.6500
Dilbeek,Flanders,Belgium,42434,50.8450,4.2650
Tucuran,Zamboanga del Sur,Philippines,42429,7.8547,123.5783
Singhanakhon,Songkhla,Thailand,42423,7.2390,100.5527
Sanarate,El Progreso,Guatemala,42422,14.7950,-90.1922
Carranglan,Nueva Ecija,Philippines,42420,15.9608,121.0631
San Rafael del Sur,Managua,Nicaragua,42417,11.8500,-86.4500
Santa Cruz,Occidental Mindoro,Philippines,42417,13.0831,120.7192
Beverly,Massachusetts,United States,42408,42.5681,-70.8627
Santos Dumont,Minas Gerais,Brazil,42406,-21.4567,-43.5525
Mableton,Georgia,United States,42403,33.8133,-84.5655
Xidiancun,Zhejiang,China,42400,29.4787,121.4368
Bassano del Grappa,Veneto,Italy,42395,45.7667,11.7342
Bang Kruai,Nonthaburi,Thailand,42390,13.8050,100.4728
Dreieich,Hesse,Germany,42389,50.0000,8.7000
Garges-lès-Gonesse,Île-de-France,France,42388,48.9728,2.4008
Bhatpalli,Andhra Pradesh,India,42387,18.4293,79.8635
Santa Rita,Samar,Philippines,42384,11.4522,124.9408
Kotabumi,Lampung,Indonesia,42366,-4.8333,104.9000
Thān,Gujarāt,India,42351,22.5667,71.1833
Acatlán de Pérez Figueroa,Oaxaca,Mexico,42347,18.5333,-96.6000
Laungowāl,Punjab,India,42346,30.2167,75.6833
Akaiwa,Okayama,Japan,42341,34.7553,134.0189
Shenjiatun,Hebei,China,42338,40.5910,114.9500
Yaguate,Valdesia,Dominican Republic,42325,18.3300,-70.1800
Qā’en,Khorāsān-e Jonūbī,Iran,42323,33.7333,59.1811
Rupsa,Odisha,India,42317,21.6167,87.0167
Krasnodon,Luhanska Oblast,Ukraine,42315,48.3000,39.7333
Ben Zakkay,Central,Israel,42314,31.8833,34.7333
Rouyn-Noranda,Quebec,Canada,42313,48.2333,-79.0167
Tomé,Biobío,Chile,42312,-36.6167,-72.9500
Iten,Elgeyo/Marakwet,Kenya,42312,0.6703,35.5081
Ansbach,Bavaria,Germany,42311,49.3000,10.5833
Pallisa,Pallisa,Uganda,42300,1.1675,33.7100
Kasai,Hyōgo,Japan,42290,34.9333,134.8333
Anglet,Nouvelle-Aquitaine,France,42288,43.4850,-1.5183
Alghero,Sardegna,Italy,42281,40.5600,8.3150
Llanera,Nueva Ecija,Philippines,42281,15.6625,121.0197
Futtsu,Chiba,Japan,42280,35.3041,139.8570
Coronel Suárez,Buenos Aires,Argentina,42276,-37.4667,-61.9333
Goryachiy Klyuch,Krasnodarskiy Kray,Russia,42272,44.6333,39.1333
Alerce,Los Lagos,Chile,42267,-41.4000,-72.9333
Polanco,Zamboanga del Norte,Philippines,42265,8.5319,123.3631
Juventino Rosas,Guanajuato,Mexico,42264,20.6500,-101.0000
Maniwa,Okayama,Japan,42259,35.0758,133.7525
Kutno,Łódzkie,Poland,42255,52.2333,19.3667
Hoddesdon,Hertfordshire,United Kingdom,42253,51.7590,-0.0150
Myanaung,Ayeyarwady,Burma,42252,18.2833,95.3167
Marki,Mazowieckie,Poland,42252,52.3333,21.1000
Akbarpur,Uttar Pradesh,India,42248,26.4333,82.5403
President Quirino,Sultan Kudarat,Philippines,42244,6.7000,124.7300
Danville,Virginia,United States,42239,36.5831,-79.4088
Moline,Illinois,United States,42235,41.4821,-90.4920
Viborg,Midtjylland,Denmark,42234,56.4333,9.4000
Palladam,Tamil Nādu,India,42225,10.9900,77.2000
Uozu,Toyama,Japan,42224,36.8273,137.4092
Hilvan,Şanlıurfa,Turkey,42218,37.5886,38.9556
Liloy,Zamboanga del Norte,Philippines,42213,8.1228,122.6736
Kārmegh,Bihār,India,42203,26.5307,86.4263
Blanes,Catalonia,Spain,42198,41.6760,2.7930
Aritao,Nueva Vizcaya,Philippines,42197,16.2973,121.0338
Bullhead City,Arizona,United States,42193,35.1205,-114.5461
Smederevska Palanka,Smederevska Palanka,Serbia,42192,44.3655,20.9587
Machang,Guizhou,China,42185,26.5634,106.1103
Villenave-d’Ornon,Nouvelle-Aquitaine,France,42185,44.7806,-0.5658
Peachtree Corners,Georgia,United States,42184,33.9670,-84.2320
Sarakhs,Khorāsān-e Raẕavī,Iran,42179,36.5425,61.1589
Kirchheim unter Teck,Baden-Württemberg,Germany,42178,48.6483,9.4511
Qapshaghay,Almaty,Kazakhstan,42167,43.8844,77.0687
Jocotepec,Jalisco,Mexico,42164,20.2863,-103.4304
Amontada,Ceará,Brazil,42156,-3.3608,-39.8308
Puerto Real,Andalusia,Spain,42151,36.5292,-6.1919
Nysa,Opolskie,Poland,42151,50.4714,17.3339
Morarano Chrome,Toamasina,Madagascar,42147,-17.7613,48.1655
Claveria,Masbate,Philippines,42142,12.9035,123.2457
Liantang,Guangdong,China,42141,22.8791,111.7480
Coburg,Bavaria,Germany,42139,50.2667,10.9667
Anakaputtur,Tamil Nādu,India,42131,12.9823,80.1282
Ängelholm,Skåne,Sweden,42131,56.2500,12.8667
Cáceres,Antioquia,Colombia,42112,7.6667,-75.3333
Jinotepe,Carazo,Nicaragua,42109,11.8500,-86.2000
Pardés H̱anna Karkur,Haifa,Israel,42100,32.4711,34.9675
Kālol,Gujarāt,India,42100,22.6060,73.4630
Azemmour,Casablanca-Settat,Morocco,42098,33.2878,-8.3422
Villa Bisonó,Cibao Norte,Dominican Republic,42092,19.5600,-70.8700
Bom Conselho,Pernambuco,Brazil,42085,-9.1700,-36.6800
Esperanza,Santa Fe,Argentina,42082,-31.4427,-60.9257
Pratāpgarh,Rājasthān,India,42079,24.0300,74.7800
Linton Hall,Virginia,United States,42077,38.7551,-77.5750
Coyuca de Catalán,Guerrero,Mexico,42069,18.3256,-100.6992
Bourg-en-Bresse,Auvergne-Rhône-Alpes,France,42065,46.2056,5.2289
Paraíba do Sul,Rio de Janeiro,Brazil,42063,-22.1619,-43.2928
Guaratuba,Paraná,Brazil,42062,-25.8828,-48.5750
Satka,Chelyabinskaya Oblast’,Russia,42062,55.0500,59.0333
Quesada,Alajuela,Costa Rica,42060,10.3441,-84.4199
Imperia,Liguria,Italy,42060,43.8865,8.0297
Soran,Qaraghandy,Kazakhstan,42058,49.7833,72.8500
Sarāb,Āz̄arbāyjān-e Sharqī,Iran,42057,37.9422,47.5361
Guaraciaba do Norte,Ceará,Brazil,42053,-4.1669,-40.7478
Zhovti Vody,Dnipropetrovska Oblast,Ukraine,42052,48.3500,33.5000
Madridejos,Cebu,Philippines,42039,11.2700,123.7300
Mampong,Ashanti,Ghana,42037,7.0627,-1.4001
San José de Bocay,Jinotega,Nicaragua,42029,13.5333,-85.5333
Miercurea-Ciuc,Harghita,Romania,42029,46.3594,25.8017
Coppell,Texas,United States,42029,32.9639,-96.9903
Siegburg,North Rhine-Westphalia,Germany,42025,50.8014,7.2044
